state,my location,latitude,longitude,electoral_college_votes
peurto rico,not here,18.2223,-66.4303,0
hawaii,not here,20.2927,-156.3737,4
alaska,not here,64.0685,-152.2782,3
alabama,not here,32.7794,-86.8287,9
arizona,not here,34.2744,-111.6602,11
arkansas,not here,34.8938,-92.4426,6
california,not here,37.1841,-119.4696,54
colorado,not here,38.9972,-105.5478,10
connecticut,not here,41.6219,-72.7273,7
delaware,not here,,,
district of columbia,not here,,,
florida,not here,,,
georgia,not here,,,
idaho,not here,,,
illinois,not here,,,
indiana,not here,,,
iowa,not here,,,
kansas,not here,,,
kentucky,not here,,,
louisiana,not here,,,
maine,not here,,,
maryland,not here,,,
massachusetts,not here,,,
michigan,not here,,,
minnesota,not here,,,
mississippi,not here,,,
missouri,not here,,,
montana,not here,,,
nebraska,not here,,,
nevada,not here,,,
new hampshire,not here,,,
new jersey,not here,,,
new mexico,not here,,,
new york,not here,,,
north carolina,not here,,,
north dakota,not here,,,
ohio,not here,,,
oklahoma,not here,,,
oregon,not here,,,
pennsylvania,not here,,,
rhode island,not here,,,
south carolina,not here,,,
south dakota,not here,,,
tennessee,not here,,,
texas,not here,,,
utah,not here,,,
vermont,not here,,,
virginia,not here,,,
washington,HERE!,,,
west virginia,not here,,,
wisconsin,not here,,,
wyoming,not here,,,
